DATE,SPASTT01USM657N
1971-11-01,-4.828924162493269
1971-12-01,7.011053398232209
1972-01-01,4.440150812353769
1972-02-01,2.2022237216572003
1972-03-01,2.5964842643848702
1972-04-01,1.1463660684606
1972-05-01,-1.3633723291868702
1972-06-01,0.0842890084318825
1972-07-01,-1.10674509255072
1972-08-01,3.13004126400257
1972-09-01,-1.6567446025905201
1972-10-01,-0.0981404431565898
1972-11-01,4.990201426329969
1972-12-01,2.01520623161663
1973-01-01,0.196732997874402
1973-02-01,-4.45205989894887
1973-03-01,-2.22703727833394
1973-04-01,-2.46426101047663
1973-05-01,-3.27992242638405
1973-06-01,-2.8307994506282004
1973-07-01,1.7939713387060299
1973-08-01,-1.42137206649367
1973-09-01,2.4978640200276603
1973-10-01,4.520815052952339
1973-11-01,-7.898794115493059
1973-12-01,-7.692466702622419
